DATE,2ssd0.5std,5ssd0.5std,10ssd0.5std,2ssd1.0std,5ssd1.0std,10ssd1.0std,2ssd1.5std,5ssd1.5std,10ssd1.5std,2ssd2.0std,5ssd2.0std,10ssd2.0std
2001-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-08,1.0,1.0,0.99973,1.0,1.0,0.99973,1.0,1.0,0.99973,1.0,1.0,1.0
2001-01-09,1.0,1.0,1.0005564913011387,1.0,1.0,0.9971758615810998,1.0,1.0,0.99946,1.0,1.0,1.0
2001-01-10,1.0,1.0,1.0005564913011387,1.0,1.0,0.9966358615810998,1.0,1.0,1.003300709378074,1.0,1.0,1.0
2001-01-11,1.0,1.0,1.0005564913011387,1.0,1.0,0.9974806885836963,1.0,1.0,1.0038581228793722,1.0,1.0,1.0
2001-01-12,1.0,0.99946,1.0002864913011387,1.0,1.0,0.9970276715012566,1.0,1.0,1.0034051057969324,1.0,1.0,1.0
2001-01-15,1.0,0.99838,0.9994764913011388,1.0,1.0,0.9967576715012565,1.0,1.0,1.0015868345456849,1.0,1.0,1.0
2001-01-16,1.0,0.9962211745038562,0.9981270785530668,1.0,0.99946,0.9962176715012565,1.0,1.0,1.002479691693426,1.0,1.0,1.0
2001-01-17,1.0,0.9941291388789918,0.997126706916525,1.0,0.99892,0.9956776715012565,1.0,1.0,1.0019385261691691,1.0,1.0,1.0
2001-01-18,1.0,0.9935891388789918,0.9973851151159582,1.0,0.99838,0.9948676715012565,1.0,1.0,1.0038903052044013,1.0,1.0,1.0
2001-01-19,1.0,0.9949087125467675,0.9974207079577286,1.0,0.99784,0.9966246981289801,1.0,1.0,1.0061395541233265,1.0,1.0,1.0
2001-01-22,1.0,0.9949087125467675,0.9961881249287774,1.0,0.9973,0.9964207401356661,1.0,1.0,1.0064755961300123,1.0,1.0,1.0
2001-01-23,1.0,0.9949087125467675,0.9962302929118609,1.0,0.9965827221958674,0.9950014142558831,1.0,1.0,1.006356801583426,1.0,1.0,1.0
2001-01-24,0.99865,0.9938287125467675,0.9961428115932672,0.99865,0.9955027221958673,0.9944028690108355,1.0,1.0,1.0065682563383784,1.0,1.0,1.0
2001-01-25,0.9973,0.9891253586260679,0.9932511346329174,0.9973,0.9938827221958674,0.9907739458127328,1.0,0.99946,1.0040193331402758,1.0,1.0,1.0
