DATE,2ssd2std,5ssd2std,10ssd2std,2ssd1.5std,5ssd1.5std,10ssd1.5std,2ssd1std,5ssd1std,10ssd1std,2ssd0.5std,5ssd0.5std,10ssd0.5std
2001-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983079526226735,0.9991539763113367,1.0,1.0,1.0003533569119303
2001-01-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000144372643116,1.0000072186321558,1.0061349693251533,1.0024539877300613,1.0031126359918772
2001-01-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000144372643116,1.0000072186321558,1.0061349693251533,1.0024539877300613,1.0032718718563656
2001-01-17,1.0,0.9991169977924945,0.9995584988962473,0.9977924944812362,0.9978955861095237,0.9989477930547618,1.0,0.9987930255813409,0.9993965127906704,1.0061349693251533,1.0015709855225559,1.0037035230281979
2001-01-18,1.0,0.9991169977924945,0.9995584988962473,0.9977924944812362,0.9982345691603711,0.9991172845801856,1.0,0.9991320086321883,0.9995660043160942,1.0061349693251533,1.0015709855225559,1.0023084443016241
2001-01-19,1.0,1.002816631492128,1.001408315746064,1.0010891977779395,1.003252884178686,1.001626442089343,1.0,1.002831642331822,1.0002253449754348,1.0061349693251533,1.0052706192221894,1.0048276040221715
2001-01-22,1.0,1.002816631492128,1.001408315746064,1.0010891977779395,1.003252884178686,1.001626442089343,1.0,1.002831642331822,1.0002253449754348,1.0061349693251533,1.0052706192221894,1.002606926838234
2001-01-23,1.0,1.002816631492128,1.001408315746064,1.0010891977779395,1.003252884178686,1.001626442089343,1.0,1.002831642331822,1.0002253449754348,1.0061349693251533,1.0052706192221894,1.0015900442188672
2001-01-24,1.0,1.002816631492128,1.001408315746064,1.0010891977779395,1.003252884178686,1.001626442089343,1.0,1.002831642331822,0.9987839622448192,1.0061349693251533,1.0052706192221894,1.006113053722694
2001-01-25,1.0,1.002816631492128,1.001408315746064,1.0010891977779395,1.003252884178686,1.001626442089343,1.0,1.002831642331822,0.9987839622448192,1.0061349693251533,1.0052706192221894,1.0062705342290625
2001-01-26,1.0,1.002816631492128,1.001408315746064,1.0010891977779395,1.0049449315560126,0.9997474203317378,1.0,1.0045236897091485,0.9971900978028126,1.0061349693251533,1.0052706192221894,1.003834817433141
2001-01-29,1.0,1.002816631492128,1.001408315746064,1.0010891977779395,1.0053068212508496,1.0000217447651023,1.0,1.0048855794039855,0.9986079954623356,1.0061349693251533,1.0056325089170264,1.0041832835526363
2001-01-30,1.0,1.002816631492128,1.001408315746064,1.0010891977779395,1.0053068212508496,0.9997778423446422,1.0,1.0048855794039855,0.9990329893629456,1.0061349693251533,1.0056325089170264,1.003939381132176
2001-01-31,1.0,1.002816631492128,1.001408315746064,1.0010891977779395,1.0053068212508496,0.9978382822721731,1.0,1.0048855794039855,0.9975917681609084,1.0061349693251533,1.0056325089170264,1.001999821059707
2001-02-01,1.0,1.002816631492128,1.001408315746064,0.997770613707143,1.003979387622531,0.995618145887188,1.0,1.0055467364287787,0.9963837806681995,1.0061349693251533,1.0056325089170264,1.0004612550546015
2001-02-02,1.0,1.002816631492128,1.001408315746064,0.997770613707143,1.003979387622531,0.9935589559634264,1.0,1.0042200365946163,0.9926456935848452,1.0061349693251533,1.0056325089170264,0.99769901827042
2001-02-05,1.0,1.002816631492128,1.001408315746064,1.0010673170038462,1.0052980689412123,0.996087391722811,1.0,1.002236565520236,0.9940189209162941,1.0061349693251533,1.004313827598345,0.9989651658212992
2001-02-06,1.0,1.002816631492128,1.001408315746064,1.0010673170038462,1.0052980689412123,0.9941839022266507,1.0,1.0032027490213153,0.9925985231706734,1.0061349693251533,1.004313827598345,0.9978089134790694
2001-02-07,1.0,1.002816631492128,1.001408315746064,1.0010673170038462,1.0052980689412123,0.9942114142491124,1.0,1.0022412106328689,0.993036355144716,1.0061349693251533,1.004313827598345,0.9987275146473352
2001-02-08,1.0,1.002816631492128,1.001408315746064,1.0010673170038462,1.0052980689412123,0.9926827523827145,1.0,1.0022412106328689,0.9918049570302969,1.0061349693251533,1.004313827598345,0.9976513962247018
2001-02-09,1.0,1.002816631492128,1.001408315746064,1.0010673170038462,1.0052980689412123,0.9911656859245337,1.0,1.0022412106328689,0.9907854029347607,1.0061349693251533,1.004313827598345,0.996786879415012
2001-02-12,1.0,1.002816631492128,1.001408315746064,1.0010673170038462,1.0052980689412123,0.991797887973027,1.0,1.0051397613371147,0.9925208595520719,1.0061349693251533,1.004313827598345,0.9955729882598786
2001-02-13,1.0,1.002816631492128,1.001408315746064,1.0010673170038462,1.0052980689412123,0.9905556470854223,1.0,1.0044818666002724,0.9911141449802566,1.0061349693251533,1.003984880229924,0.9946413050913255
