DATE,2ssd0.5std,5ssd0.5std,10ssd0.5std,2ssd1.0std,5ssd1.0std,10ssd1.0std,2ssd1.5std,5ssd1.5std,10ssd1.5std,2ssd2.0std,5ssd2.0std,10ssd2.0std
2001-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-09,1.0,1.0,1.0,1.0,0.9991282277642904,0.9995641138821452,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-10,1.0,1.0,1.0,1.0,1.0029449949377596,1.0014733300325986,1.0,1.0,1.0001347707618002,1.0,1.0,1.0
2001-01-11,1.0,1.006339653377981,1.0031698266889904,1.0,1.0093033185628457,1.004647826922448,1.0,1.0,1.001860881325488,1.0,1.0,1.0
2001-01-12,1.0,1.006339653377981,1.0031698266889904,1.0,1.0093033185628457,1.0040159730826261,1.0,1.0,1.0023964875389888,1.0,1.0,1.0
2001-01-15,1.0,1.006339653377981,1.0031698266889904,1.0,1.0093033185628457,1.0007672195996467,1.0,1.0,1.0019971263610765,1.009516241121097,1.0038064964484388,1.0019032482242194
2001-01-16,1.0,1.000876769434821,1.0004469883708906,1.0,1.0093033185628457,1.004187642748491,1.0,1.0,1.0027987239138478,1.020172245888486,1.0080447905445542,1.0040183773038038
2001-01-17,1.0,1.001339105683616,1.0006780572306377,1.0,1.0093033185628457,1.0045093169188695,1.001132439051889,1.0004529756207556,1.0035564270413655,1.0213275287793835,1.0085014102593006,1.0042457752276583
2001-01-18,1.0,1.0039096834915247,1.0019624976325843,1.0,1.0093033185628457,0.9994211194231378,0.9938743171095106,0.9975516972637992,0.9999705581043418,1.013922994216495,1.005576791725651,1.0027896365566102
2001-01-19,1.0,1.0125438881757556,1.0062712265116576,1.0,1.0093033185628457,0.9945817727454999,1.0094146237198813,1.0037908198443124,0.9982628772342025,1.0297767837129925,1.0118661067405064,1.005925578023156
2001-01-22,1.0,1.0171702569275451,1.0085700808193685,1.0,1.0093033185628457,0.9991881922416862,0.9852380423355197,0.9941740657856449,0.9952169119090938,1.0051125063842026,1.0021719879097184,0.9962883720496325
2001-01-23,1.0,1.0092901727626606,1.0046633517988763,1.0,1.0045064594977728,0.9977706599878714,0.981385127545169,0.992618921628536,0.99390153223536,1.0011818696493135,1.000604332943599,0.9935237005950247
