DATE,2ssd0.5std,5ssd0.5std,10ssd0.5std,2ssd1.0std,5ssd1.0std,10ssd1.0std,2ssd1.5std,5ssd1.5std,10ssd1.5std,2ssd2.0std,5ssd2.0std,10ssd2.0std
2001-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99973
2001-01-09,0.99865,0.99946,0.99973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996790421106682
2001-01-10,0.9962626574481743,0.9985050629792698,0.9992525314896349,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.996790421106682
2001-01-11,0.9962626574481743,0.9985050629792698,0.9992525314896349,0.99865,0.99946,0.99973,1.0,1.0,1.0,1.0,1.0,0.996520421106682
2001-01-12,0.9962626574481743,0.9979650629792698,0.9989825314896349,1.0021309192029009,1.0008523676811605,1.0004261838405801,1.0,1.0,1.0,1.0,1.0,0.9984716405508904
2001-01-15,0.9962626574481743,1.0039772225291475,1.0019886112645737,1.0021309192029009,1.0008523676811605,1.0001561838405801,1.0,1.0,1.0,1.0,1.0,1.003129190677681
2001-01-16,0.9962626574481743,1.0067358437617655,1.0033679218808826,1.0021309192029009,1.0008523676811605,0.997756183735088,1.0,1.0,1.0,1.0,1.0,1.004109835990249
2001-01-17,0.9962626574481743,0.9999331220852351,0.9999665610426175,1.0021309192029009,1.0008523676811605,0.9979797308947229,0.99865,0.99946,0.99919,1.0,1.0,1.0086637755852774
2001-01-18,0.9962626574481743,1.0041584742726852,1.0020792371363427,1.0021309192029009,1.0008523676811605,0.9977097308947229,0.9973,0.99892,0.9968890188578943,1.0,1.0,1.0069027944431717
2001-01-19,0.9962626574481743,1.0036184742726852,1.0018092371363427,1.0021309192029009,1.0008523676811605,1.0022133175738295,0.9938517253160577,0.9975406901264231,0.9952857503096639,1.0,1.0,1.0069991687778237
2001-01-22,0.9962626574481743,1.0030784742726853,1.0015392371363427,1.0021309192029009,1.0008523676811605,1.0022133175738295,0.9958125096219407,0.9983250038487763,0.9980889022404279,1.0,1.0,1.0094101638474111
2001-01-23,0.9962626574481743,1.0070784719765036,1.0035392359882518,1.0021309192029009,1.0008523676811605,1.0022133175738295,0.9944625096219407,0.9977850038487763,1.002148111773878,1.0,1.0,1.013739373380861
