DATE,2ssd0.5std,5ssd0.5std,10ssd0.5std,2ssd1.0std,5ssd1.0std,10ssd1.0std,2ssd1.5std,5ssd1.5std,10ssd1.5std,2ssd2.0std,5ssd2.0std,10ssd2.0std
2001-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998140070109618,1.0,1.0,1.0
2001-01-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992671642651254,1.0,1.0,1.0
2001-01-11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.992536842974129,1.0,1.0,1.0
2001-01-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948160578953559,1.0,1.0039024388884168,1.0019512194442084
2001-01-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9903478375050475,1.0,1.0132538907514765,1.0066178574733686
2001-01-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9958444300131607,1.0,1.0152411761082902,1.0076049925568473
2001-01-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9957505310885701,1.0,1.0244878700890558,1.0121935648286002
2001-01-18,1.0,1.0,1.0,1.0,1.0,0.9948209747954713,0.9820016756553902,0.9829692396247398,0.9894573456303097,1.0,1.02087966244997,1.0104111110487763
2001-01-19,1.0,1.0,1.0,1.0,1.0,0.9891862104208867,0.98649958451547,0.9864144126707421,0.9912403316976528,1.0,1.0210764356464266,1.0105084887473286
2001-01-22,1.0,1.0,1.0,1.0,1.0,0.9909187907441743,0.9723855105038033,0.987818100257451,0.9928123532415888,1.0,1.0260000561504574,1.0129448197314745
2001-01-23,1.0,0.9914056532338199,0.9957028266169099,1.0,1.0,0.9847328634980415,0.9591942329183162,0.9871672992082144,0.9878422051072424,1.0,1.0348835945992712,1.017330070101915
2001-01-24,1.0,0.990110403288524,0.9950523945624326,1.0,1.0,0.981549140610155,0.956328117706041,0.9899862339943005,0.9859390238382092,1.0,1.044415374204087,1.0220151216691487
2001-01-25,1.0,0.992222956678994,0.9961139435083108,1.0,1.0,0.9804889320184522,0.956973601255228,0.9815450195061247,0.9819716580809175,1.0,1.0320257403329236,1.0159531689820185
