DATE,0.5std,1.0std,1.5std,2.0std
2001-01-03,1.0,1.0,1.0,1.0
2001-01-04,1.0,1.0,1.0,1.0
2001-01-05,1.0,1.0,1.0,1.0
2001-01-08,1.0,0.99865,0.999325,1.0
2001-01-09,1.0,0.9940664757618398,0.9958273574374095,1.0
2001-01-10,0.999325,0.9966885778502581,0.9936989073881827,1.0
2001-01-11,1.0065696732649385,1.0078159207057051,0.9975889860968353,1.0
2001-01-12,1.0058902387354847,1.0112259558911196,1.0009644175355352,1.0
2001-01-15,1.0037193063708627,1.0090435078753703,0.9988041161764181,1.0
2001-01-16,1.0010564616313038,1.0063665381489961,0.99615431132587,1.0
2001-01-17,1.0047775603488271,1.0101073753325074,0.9998571879091643,1.0
2001-01-18,1.0021139448994953,1.0074296308081516,0.9972066161229914,1.0
2001-01-19,1.0006719208661892,1.0059799575979502,0.9957716536479752,1.0
2001-01-22,1.0008654384471285,1.0061745016875847,0.9966363694440153,1.0
2001-01-23,0.9964414790587783,1.0017270755281145,0.9981519250688257,1.0
2001-01-24,0.9972063650145709,1.0024960188004604,0.9956455089271801,1.0
2001-01-25,1.0004817190556319,1.0057887468671105,0.9962441014758241,1.0
2001-01-26,0.9936622759658397,0.9989331302286697,0.9958780163559926,1.0
2001-01-29,1.0022598707499941,1.007576330718318,1.0020327547146617,1.0
2001-01-30,0.9940201328239432,0.9992928853286523,0.9967610734779425,1.0
2001-01-31,1.000921783023148,1.0062311451418608,0.999455874331724,1.0
2001-02-01,0.9986437277600353,1.0039410059971468,1.0023134963905322,1.0
2001-02-02,0.9987255192557238,1.0040232313535786,1.0003145138173957,1.0
2001-02-05,0.9900733609859527,0.995325177947802,0.9938074547930275,1.0
2001-02-06,0.9965154351975812,1.001801423965225,0.9917043417232578,1.0
2001-02-07,0.9937206129106207,0.9989917766201726,0.9938705398091053,1.0
2001-02-08,0.9959110578499328,1.0011938407145287,0.9979518298440241,1.0
2001-02-09,0.9933473424917598,0.9986165261986225,0.9934989174624891,1.0
2001-02-12,0.9924691928958412,0.9977337184822812,0.9954076230375282,1.0
2001-02-13,1.0019601087743375,1.0072749786634911,0.9981289683326111,1.0
2001-02-14,0.9888183645380225,0.9940635244056684,0.9954120211763305,1.0
2001-02-15,0.9971863748027743,1.002475922551134,0.9976026122526808,1.0
2001-02-16,0.9901773488740964,0.9954297174368434,0.994999258075871,1.0
2001-02-19,0.9895947347350044,0.9948440128370457,0.9932808510228284,1.0
2001-02-20,0.9864867506832349,0.9917195425692003,0.9915132444567143,1.0
2001-02-21,0.9860647004932044,0.9912952536255237,0.9916232642719772,1.0
2001-02-22,0.9977256352944173,1.00301804353525,1.0044107546114214,1.0
2001-02-23,0.9966181870995038,1.0019047209117906,1.0044107546114214,1.0
2001-02-26,0.9888402065081038,0.9940854822358804,1.0037327773520588,1.0
2001-02-27,0.9910951145690359,0.9963523513947155,1.0003154041654714,1.0
2001-02-28,0.9991460433153906,1.0044459860715746,1.0042016334415989,1.0
2001-03-01,0.9950335108294555,1.0003116387699735,1.0029463792474795,1.0
2001-03-02,0.9989518865920965,1.0042507994492722,1.0007157188420608,1.0
2001-03-05,1.0141720895169415,1.0195517375226761,1.0024393379733054,1.0
2001-03-06,1.0141720895169415,1.0195517375226761,1.0000142148402662,1.0
