DATE,2ssd0.5std,5ssd0.5std,10ssd0.5std,2ssd1.0std,5ssd1.0std,10ssd1.0std,2ssd1.5std,5ssd1.5std,10ssd1.5std,2ssd2.0std,5ssd2.0std,10ssd2.0std
2001-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2001-01-09,1.0,1.0,1.0,0.9929999898679798,0.9971999959471919,0.998599997973596,0.9929999898679798,0.9971999959471919,0.998599997973596,1.0,1.0,1.0
2001-01-10,1.0,1.010097063919004,1.005048531959502,0.988755176022424,0.9954948888403338,0.997746247492061,0.988755176022424,1.0031547995928332,1.0015815798692227,1.0,1.0,1.0
2001-01-11,1.0,1.0144206818951946,1.0095507724304136,0.9964966265356878,0.9997223810390815,1.0010903195862846,0.9964966265356878,1.0074148205502036,1.0037082499118177,1.0,1.0,1.0
2001-01-12,1.0,1.0144206818951946,1.0107235296581916,1.0032400972207989,1.0015227183832982,1.0031546490131313,1.0032400972207989,1.009229010726349,1.0046120075345772,1.0,1.0,1.0
2001-01-15,0.9956835601320655,1.0126692075455186,1.0095365240561731,0.9989096716680446,0.9961514334145741,1.0005753946547347,0.9989096716680446,1.0038163959989814,1.0019180809383934,1.0,1.0,1.0
2001-01-16,0.975746102582443,1.0045581770351542,1.004213274803952,0.9936095018942592,0.995816061395402,0.9998783481902229,0.9936095018942592,1.0034784434344297,1.001749424206807,1.0,1.0,1.0
2001-01-17,0.9854688586599387,1.0086538263318952,1.0020115339002047,1.0009963360738072,0.9976995541537341,0.999888063321536,1.0009963360738072,1.005376428870317,1.0026967817858325,1.0,1.0,1.0
2001-01-18,0.9771941922173405,1.005258899873547,1.0052230424844404,0.9925912903755221,0.998243186829775,1.0006203651612173,0.9956891528509554,1.0071688117270383,1.0035905845797681,1.0,1.0,1.0
2001-01-19,0.9811087652193087,1.004288232887758,1.0067280990628957,0.9965675430981012,1.0043333391804385,1.0032516737846076,0.992823595105908,1.0105401201319733,1.0052702500606252,1.0,1.0,1.0
2001-01-22,0.973521935507368,0.9962530516671828,1.004067871455675,0.9888611719861865,1.001901766223715,1.0020371967063335,0.9945479065827899,1.0119213204314192,1.0059572487966213,1.0,1.0,1.0
2001-01-23,0.9769142074542974,0.9992583603665568,1.0043099243833191,0.9923068940503619,1.0030601902838105,1.002172933210813,0.9975726661042706,1.0129119381628422,1.0064496384061645,1.0,1.0,1.0
2001-01-24,0.9729528267897161,0.9970163468119121,1.0014227611167201,0.9882830961432097,1.0018574329963212,1.001330498774391,0.9925627429252601,1.011305524756313,1.0056515560994912,1.0,1.0,1.0
2001-01-25,0.9698620849887167,0.9737879633840153,0.9883669403184241,0.985143655265537,0.996018095925368,0.998370308931294,0.9937562212398803,1.0071825555266938,1.0036015967548528,1.0,1.0,1.0
2001-01-26,0.9632787080458057,0.9736372373359861,0.9872497508460477,0.9784565477624061,0.9926653621215463,0.9957191266864758,0.993025879419443,1.0062308395168948,1.0031274306258575,1.0,1.0,1.0
2001-01-29,0.9431610578814811,0.9648779166237182,0.9867849374399695,0.958021915122378,0.9810471724690957,0.9930336901608423,1.0053001025086876,1.0128097072481899,1.0064067192465929,1.0,1.0,1.0
2001-01-30,0.9163668525920744,0.9458735853026993,0.9789380303050639,0.930805528640945,0.9672149682641273,0.9860330865353573,0.9947223610870991,1.0015134034522701,1.0007942749929961,1.0,1.0,1.0
2001-01-31,0.9289497361128322,0.9628921719746756,0.9867246587630664,0.9435866735658588,0.9769156985164165,0.9907048095616682,1.0001009392424034,1.0103895484084435,1.0052291607496546,1.0,1.0,1.0
2001-02-01,0.9297814088477615,0.9634108985110831,0.9873206801021979,0.944431450499357,0.9765464929828755,0.987412218524121,1.0058198720705782,1.0142680717538786,1.0071585179830211,1.0,1.0,1.0
2001-02-02,0.9248060257839535,0.9674961418802754,0.994343319636658,0.9393776731286465,0.9790186257517618,0.9864727237347306,1.0018079209131325,1.0157701708004525,1.0079043029937802,1.0,1.0,1.0
2001-02-05,0.9353129574665404,0.9644985094466766,0.9932429589055037,0.9500501566122433,0.9759852927402758,0.9862585330214799,0.9887743735989298,1.0044380135535929,1.002282101053005,1.0,1.0,1.0
2001-02-06,0.9363698354853275,0.9703994538447005,0.996316954938789,0.9511236872623355,0.9819565149758119,0.9881380912235878,0.9845894496518613,1.0037559325995886,1.0006957892401047,1.0,1.0,1.0
2001-02-07,0.9441762474151938,0.9885300389133889,1.0054189389690251,0.9590531004254312,1.0003030279071465,0.9984882119793885,0.9888907634435816,1.018257538102691,1.0081481048401013,1.0,1.0,1.0
2001-02-08,0.9499197212754169,0.9885572421823227,1.004601873587435,0.9648870709663542,1.000330555155902,0.9985156567024982,0.9970124450043223,1.0214043623620113,1.0098182865329677,0.9978701318472798,0.9991480527389119,0.9995740263694559
2001-02-09,0.9377855172112146,0.9643623766375944,0.9927131710733487,0.9525616750873254,0.9758475386450416,0.9875783895814135,0.9881150034081722,1.0012882059497579,1.0015813389920036,0.9940285084766504,0.997609435482971,0.9988043897568707
